meanx	meany	tvalue	fd	pvalue	adjp
A1BG	1.32268376073395	2.75072427276389	-5.89744141663845	2.07965377244636	3.00119971301443e-08	1.83154691399735e-07
A1BG-AS1	0.232154791917431	0.468679661902778	-5.37124580409096	2.018823983911	2.52887323014357e-07	1.27623268369497e-06
A2M	110.196409202018	242.425790210556	-5.95432548704539	2.19994273829855	2.60628255689313e-08	1.61414538426381e-07
AATK	0.195133451633028	0.0484026347638889	6.5176618678597	0.248048883258192	2.64518196464634e-09	2.03075358275762e-08
AATK-AS1	0.0799394932110092	0.0389862802222222	4.40516814597304	0.487697365297446	2.1753913368386e-05	7.2721884342495e-05
ABAT	2.43304485172477	0.997245951277778	6.59761664942808	0.409875695703199	8.73101853123851e-10	7.46480789253743e-09
ABCA13	0.133292300513761	0.430597128861111	-4.29578673102207	3.23047263196313	3.25159864689813e-05	0.000104858821498038
ABCA2	0.273732790816514	0.11270025375	2.37420010464468	0.411716307037341	0.0188645636273735	0.033394526481868
ABCA5	0.0322678528073395	0.0669178728888889	-2.31436461250047	2.0738247843274	0.0220976028486766	0.0384850690167945
ABCB4	0.00939056233944954	0.0263442550555556	-6.41711453452203	2.8053969616797	1.37301927503522e-09	1.12716200625491e-08
ABCB9	0.0308233388715596	0.066217107625	-2.92947179632673	2.14827822193195	0.00385230835246471	0.00799708734971562
ABCC1	3.0523976242844	6.59295917652778	-9.47074529169982	2.15992802643902	8.91304091224875e-17	3.68085905266123e-15
ABCC3	0.929712170018349	10.7104017890972	-8.58009571628005	11.5201264805277	7.36830365891611e-15	1.92438992522403e-13
ABCC8	10.6517398275138	1.50272145906944	9.14419750532989	0.141077559478863	6.10713512234749e-16	2.07844188911426e-14
ABCD1	2.54550098358716	5.16135826904167	-9.68194373802905	2.02763947149147	1.53337936228616e-17	7.52816248817635e-16
ABHD6	18.478739288367	9.10502674902778	3.91075806386339	0.492729866845392	0.000164574816457469	0.000458950327454264
ABI3	0.237284081559633	0.605922659375	-6.8631189096291	2.55357483482398	1.11164100538572e-10	1.14475510583992e-09
ABL2	0.00318562589908257	0.0122598283472222	-3.47740988490164	3.84848338618572	0.000692892379912999	0.00169188140745822
ABLIM1	0.369677830587156	0.168443626055556	4.55655641994511	0.455649790489243	1.35173931477161e-05	4.72609913624616e-05
ABLIM3	14.5749167477706	6.56334184188889	6.26179966358149	0.450317621395183	5.59844074013383e-09	4.01817652957926e-08
ABRACL	4.46837713957798	11.8911890798056	-6.06738895897985	2.66118743077462	1.24363072068574e-08	8.29734131764712e-08
ACAP1	0.587483768458716	1.62252553186111	-4.00514269792849	2.76182189019088	0.000100231224660957	0.000291489033694035
ACBD5	0.255311239587156	0.106359387402778	3.71318569473502	0.416587172483136	0.000333262497797847	0.000871024723964042
ACBD7	17.6115596423028	5.22281368359722	8.95388396756207	0.296556000131419	6.08167584625039e-16	2.07380413535468e-14
ACE	0.58960530593578	1.87215967818056	-9.66469135220994	3.17527617091097	2.22154861850099e-17	1.04388961491868e-15
ACHE	0.0783501558715596	0.442073328166667	-5.90577539228446	5.64227758386803	1.7745046785771e-08	1.13800744608199e-07
ACOT12	0.04295952	0.183798791625	-3.36459026208044	4.27841818588755	0.000977961042911869	0.00231412490875069
ACP5	0.0423777964220183	0.106540610625	-6.07887104490748	2.51406679016572	7.48970904327519e-09	5.24878570177866e-08
ACPP	0.107549539394495	0.391746661402778	-3.84108469861657	3.6424764216408	0.00017910043120327	0.000496064041987945
ACSM3	0.0273204702201835	0.0594874006805556	-2.33518888773226	2.17739300243113	0.020823544169855	0.0365047268118672
ACTA2	1.01671613105505	2.9861265195	-6.13221451167805	2.93703072892263	8.81411061479612e-09	6.07490824795641e-08
ACTB	1380.84249197339	2787.61669117639	-9.3150221533495	2.0187796272061	2.77177361544081e-16	1.00999742531873e-14
ACTG2	0.269638572550459	1.93337738413889	-9.88700295971956	7.17025522665933	1.19228922179519e-18	7.93323780732678e-17
ACTL6B	13.4790719641927	3.77500856268056	5.2708932938866	0.280064426743096	7.95242847765844e-07	3.61187390328892e-06
